Domain,Linux,Accessible,Download,
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhev-agent/3/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-calamari/1.2/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/cf-tools/1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/optional/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/supplementary/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/6Server/$basearch/sat-tools/6/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/subscription-asset-manager/1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhs-client/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/optional/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhs-client/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/optional/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/6Server/$basearch/sat-tools/6/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/6Server/$basearch/rh-common/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/cf-tools/1/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/subscription-asset-manager/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rh-common/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhn-tools/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/scalablefilesystem/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-mon/1.2/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-calamari/1.2/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rh-common/debug,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/optional/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/6Server/$basearch/extras/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/v2vwin/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/supplementary/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/6Server/$basearch/extras/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/scalablefilesystem/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/supplementary/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhev-agent/3/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/6Server/$basearch/sat-tools/6.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/scalablefilesystem/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-osd/1.2/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhv-agent/4/debug,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/6/$basearch/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhev-agent/3/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/optional/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/6Server/$basearch/rh-common/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/6Server/$basearch/sat-tools/6.1/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-osd/1.2/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/ceph-installer/1.2/os,RedHat,No,No,No
https://cdn.redhat.com/content/eus/rhel/server/6/$releasever/$basearch/rhscl/1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhn-tools/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhv-agent/4/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/6/$releasever/$basearch/rhev-agent/3/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/6/$releasever/$basearch/rhv-agent/4/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-nagios/3.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/sat-tools/6.2/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/v2vwin/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/highavailability/debug,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/highavailability/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/ceph-tools/2/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server/3.1/files,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/extras/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/sat-tools/6.1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/7/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/rhn-tools/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server-nfs/3.1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/supplementary/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/sat-tools/6.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server-splunk/3.1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/7.0/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-console/3.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/optional/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/7.0/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhs-client/debug,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/optional/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/sat-tools/6.2/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/9/os,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/highavailability/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/sat-tools/6.2/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-nagios/3.1/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/supplementary/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/oracle-java/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rh-gluster-samba/3.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/oracle-java/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/optional/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rh-gluster-samba/3.1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/ceph-tools/1.3/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rh-gluster-samba/3.1/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-console/3.1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/optional/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server-bigdata/3.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhn-tools/os,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/optional/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/oracle-java/os,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/9/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/oracle-java/os,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/optional/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server/3.1/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/rhn-tools/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-console/3.1/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/extras/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/7/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/rh-common/os,RedHat,No,No,No
https://cdn.redhat.com/content/fastrack/rhel/server/7/$basearch/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server/3.1/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/optional/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/rhn-tools/debug,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/openstack-tools/9/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/6.4/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/sat-tools/6/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/v2vwin/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/highavailability/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/ceph-tools/2/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server/3.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/jbcs/1/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/extras/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/jbeap/7/os,RedHat,No,No,No
https://cdn.redhat.com/content/beta/rhel/server/7/$basearch/highavailability/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rh-common/os,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/rhgs-server-nfs/3.1/debug,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/$releasever/$basearch/source/SRPMS,RedHat,No,No,No
https://cdn.redhat.com/content/dist/rhel/server/7/7Server/$basearch/sat-tools/6.1/os,RedHat,No,No,No
